MSSubClass,MSZoning,LotFrontage,LotArea,Street,LotShape,LandContour,LotConfig,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,GrLivArea,BsmtFullBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,GarageCars,GarageArea,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,MoSold,YrSold,SaleType,SaleCondition,hasGarage,hasBasement,has2ndFlr,hasWoodDeck,hasOpenPorch
9,3,4.189654742026425,9.042040056544483,1,3,3,4,5,2,2,0,5,7,4,2003,2003,1,1,12,13,1,196.0,2,4,2,706,0,150,856,1,0,1,4,6.75343791859778,854,7.444833273892193,1,2,1,3,0.6931471805599453,2,8,6,0,2,548,2,0,61,0,4,2,8,4,1,1,0,1,0
4,3,4.394449154672439,9.169622538697624,1,3,3,2,24,1,2,0,2,6,7,1976,1976,1,1,8,8,2,0.0,3,4,1,978,0,284,1262,1,0,1,4,7.141245122350491,0,7.141245122350491,0,2,0,3,0.6931471805599453,3,6,6,1,2,460,2,298,0,0,7,1,8,4,1,1,1,0,1
9,3,4.23410650459726,9.328212292571072,1,0,3,4,5,2,2,0,5,7,4,2001,2002,1,1,12,13,1,162.0,2,4,2,486,0,434,920,1,0,1,4,6.825460036255307,866,7.488293515159428,1,2,1,3,0.6931471805599453,2,6,6,1,2,608,2,0,42,0,11,2,8,4,1,1,0,1,0
10,3,4.110873864173311,9.164401140034737,1,0,3,0,6,2,2,0,5,7,4,1915,1970,1,1,13,15,2,0.0,3,4,0,216,0,540,756,1,2,1,4,6.8690144506657065,756,7.4489161025442,1,1,0,3,0.6931471805599453,2,7,6,1,3,642,2,0,35,272,4,0,8,0,1,1,0,1,0
9,3,4.442651256490317,9.565283817736766,1,0,3,2,15,2,2,0,5,8,4,2000,2000,1,1,12,13,1,350.0,2,4,2,655,0,490,1145,1,0,1,4,7.044032897274685,1053,7.695757990554761,1,2,1,4,0.6931471805599453,2,9,6,1,3,836,2,192,84,0,3,2,8,4,1,1,0,0,0
8,3,4.454347296253507,9.55506418479516,1,0,3,4,11,2,2,0,0,5,4,1993,1995,1,1,12,13,2,0.0,3,4,5,732,0,64,796,1,0,1,4,6.680854678790215,566,7.217443431696533,1,1,1,1,0.6931471805599453,3,5,6,0,2,480,2,40,30,0,1,3,8,4,1,1,0,0,0
4,3,4.330733340286331,9.218804450388312,1,3,3,4,21,2,2,0,2,8,4,2004,2005,1,1,12,13,3,186.0,2,4,2,1369,0,317,1686,1,0,1,4,7.43543801981455,0,7.43543801981455,1,2,0,3,0.6931471805599453,2,7,6,1,2,636,2,255,57,0,10,1,8,4,1,1,1,0,0
9,3,4.2633832685897595,9.247925132303454,1,0,3,0,14,4,2,0,5,7,5,1973,1973,1,1,6,6,3,240.0,3,4,1,859,32,216,1107,1,0,1,4,7.010311867307229,983,7.645397699428633,1,2,1,3,0.6931471805599453,3,7,6,2,2,484,2,235,204,228,2,3,8,4,1,1,0,0,0
8,4,3.9512437185814275,8.71948076085107,1,3,3,4,17,0,2,0,0,7,4,1931,1950,1,1,3,15,2,0.0,3,4,0,0,0,952,952,1,2,1,1,6.930494765951626,752,7.4815557019095165,0,2,0,2,1.0986122886681098,3,8,2,2,2,468,2,90,0,205,6,2,8,0,1,1,0,0,1
3,3,3.9318256327243257,8.912069097970134,1,3,3,0,3,0,0,1,1,5,5,1939,1950,1,1,8,8,2,0.0,3,4,0,851,0,140,991,1,0,1,4,6.982862751468942,0,6.982862751468942,1,1,0,2,1.0986122886681098,3,5,6,2,1,205,2,0,4,0,0,2,8,4,1,1,1,1,0
4,3,4.2626798770413155,9.32375833901174,1,3,3,4,19,2,2,0,2,5,4,1965,1965,3,1,6,6,2,0.0,3,4,1,906,0,134,1040,1,0,1,4,6.947937068614969,0,6.947937068614969,1,1,0,3,0.6931471805599453,3,5,6,0,1,384,2,0,0,0,4,2,8,4,1,1,1,1,1
9,3,4.454347296253507,9.386392315756542,1,0,3,4,16,2,2,0,5,9,4,2005,2006,3,1,14,15,3,286.0,0,4,2,998,0,177,1175,1,0,1,4,7.075808863978387,1142,7.751475318021456,1,3,0,4,0.6931471805599453,0,11,6,2,3,736,2,147,21,0,9,0,6,5,1,1,0,0,0
4,3,4.2633832685897595,9.470317173335742,1,1,3,4,19,2,2,0,2,5,5,1962,1962,3,1,6,10,2,0.0,3,4,1,737,0,175,912,1,4,1,4,6.816735880594968,0,6.816735880594968,1,1,0,2,0.6931471805599453,3,4,6,0,1,352,2,140,0,0,11,2,8,4,1,1,1,0,1
4,3,4.5217885770490405,9.273596821611198,1,0,3,4,5,2,2,0,2,7,4,2006,2007,1,1,12,13,3,306.0,2,4,2,0,0,1494,1494,1,0,1,4,7.3098814858247865,0,7.3098814858247865,0,2,0,3,0.6931471805599453,2,7,6,1,3,840,2,160,33,0,10,1,6,5,1,1,1,0,0
4,3,4.2633832685897595,9.298442820197728,1,0,3,0,12,2,2,0,2,6,4,1960,1960,3,1,8,8,1,212.0,3,4,1,733,0,520,1253,1,4,1,4,7.134093721192866,0,7.134093721192866,1,1,1,2,0.6931471805599453,3,5,6,1,1,352,2,0,213,176,7,2,8,4,1,1,1,1,0
7,4,3.9512437185814275,8.71948076085107,1,3,3,0,3,2,2,0,1,7,7,1929,2001,1,1,13,14,2,0.0,3,4,0,0,0,832,832,1,0,1,0,6.75110146893676,0,6.75110146893676,0,1,0,2,0.6931471805599453,3,5,6,0,2,576,2,48,112,0,9,1,8,4,1,1,1,0,0
4,3,4.2633832685897595,9.32741204356202,1,0,3,1,12,2,2,0,2,6,6,1970,1970,1,1,13,14,1,180.0,3,4,1,578,0,426,1004,1,0,1,4,6.912742820493176,0,6.912742820493176,1,1,0,2,0.6931471805599453,3,5,6,1,2,480,2,0,0,0,5,4,8,4,1,1,1,1,1
14,3,4.290459441148391,9.286560397887591,1,3,3,4,19,2,2,2,2,4,4,1967,1967,1,1,8,8,2,0.0,3,4,3,0,0,0,0,1,4,1,4,7.167809184316444,0,7.167809184316444,0,2,0,2,1.0986122886681098,3,6,6,0,2,516,2,0,0,0,1,0,8,4,1,0,1,1,1
4,3,4.204692619390966,9.524859098381523,1,3,3,4,20,5,2,0,2,5,4,2004,2004,1,1,12,13,2,0.0,3,4,2,646,0,468,1114,1,0,1,4,7.016609683894219,0,7.016609683894219,1,1,1,3,0.6931471805599453,2,6,6,0,2,576,2,0,102,0,8,2,8,4,1,1,1,1,0
4,3,4.2626798770413155,8.93075873555827,1,3,3,4,12,2,2,0,2,5,5,1958,1965,3,1,3,10,2,0.0,3,4,1,504,0,525,1029,1,4,1,4,7.200424892944957,0,7.200424892944957,0,1,0,3,0.6931471805599453,3,6,2,0,1,294,2,0,0,0,7,3,0,0,1,1,1,1,1
9,3,4.624972813284271,9.562123369834488,1,0,3,0,16,2,2,0,5,8,4,2005,2006,1,1,12,13,1,380.0,2,4,2,0,0,1158,1158,1,0,1,4,7.055312843339752,1218,7.773594467360194,0,3,1,4,0.6931471805599453,2,9,6,1,3,853,2,240,154,0,2,0,6,5,1,1,0,0,0
7,4,4.060443010546419,8.915969311373605,1,3,0,4,9,2,2,0,1,7,6,1930,1950,1,1,13,14,2,0.0,3,4,2,0,0,637,637,1,0,1,1,7.011213987350367,0,7.011213987350367,0,1,0,3,0.6931471805599453,2,6,6,1,1,280,0,0,0,205,8,1,8,4,1,1,1,1,1
4,3,4.330733340286331,9.184304357425342,1,3,3,4,5,2,2,0,2,8,4,2002,2002,3,1,12,13,1,281.0,2,4,2,0,0,1777,1777,1,0,1,4,7.493317248862145,0,7.493317248862145,0,2,0,3,0.6931471805599453,2,7,6,1,2,534,2,171,159,0,11,2,8,4,1,1,1,0,0
0,4,3.8066624897703196,8.348774539791274,1,3,3,4,10,2,2,4,2,5,6,1976,1976,1,1,5,5,2,0.0,3,4,2,840,0,200,1040,1,4,1,4,6.966967138613983,0,6.966967138613983,1,1,0,3,0.6931471805599453,3,6,6,1,2,572,2,100,110,0,8,1,8,4,1,1,1,0,0
