Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,ExterQual,ExterCond,Foundation,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,1stFlrSF,2ndFlrSF,GrLivArea,BsmtFullBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,GarageCars,GarageArea,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,MoSold,YrSold,SaleType,SaleCondition,SalePrice,hasGarage,hasBasement,has2ndFlr,hasWoodDeck,hasOpenPorch
1,60,RL,4.189654742026425,9.042040056544483,Pave,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,Gd,TA,PConc,706,0,150,856,GasA,Ex,Y,6.75343791859778,854,7.444833273892193,1,2,1,3,0.6931471805599453,Gd,8,Typ,0,2,548,Y,0,61,0,2,2008,WD,Normal,12.247694320220994,1,1,0,1,0
2,20,RL,4.394449154672439,9.169622538697624,Pave,Reg,Lvl,AllPub,FR2,Gtl,Veenker,Feedr,Norm,1Fam,1Story,6,8,1976,1976,Gable,CompShg,MetalSd,MetalSd,TA,TA,CBlock,978,0,284,1262,GasA,Ex,Y,7.141245122350491,0,7.141245122350491,0,2,0,3,0.6931471805599453,TA,6,Typ,1,2,460,Y,298,0,0,5,2007,WD,Normal,12.109010932687042,1,1,1,0,1
3,60,RL,4.23410650459726,9.328212292571072,Pave,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,2001,2002,Gable,CompShg,VinylSd,VinylSd,Gd,TA,PConc,486,0,434,920,GasA,Ex,Y,6.825460036255307,866,7.488293515159428,1,2,1,3,0.6931471805599453,Gd,6,Typ,1,2,608,Y,0,42,0,9,2008,WD,Normal,12.31716669303576,1,1,0,1,0
4,70,RL,4.110873864173311,9.164401140034737,Pave,IR1,Lvl,AllPub,Corner,Gtl,Crawfor,Norm,Norm,1Fam,2Story,7,5,1915,1970,Gable,CompShg,Wd Sdng,Wd Shng,TA,TA,BrkTil,216,0,540,756,GasA,Gd,Y,6.8690144506657065,756,7.4489161025442,1,1,0,3,0.6931471805599453,Gd,7,Typ,1,3,642,Y,0,35,272,2,2006,WD,Abnorml,11.84939770159144,1,1,0,1,0
5,60,RL,4.442651256490317,9.565283817736766,Pave,IR1,Lvl,AllPub,FR2,Gtl,NoRidge,Norm,Norm,1Fam,2Story,8,5,2000,2000,Gable,CompShg,VinylSd,VinylSd,Gd,TA,PConc,655,0,490,1145,GasA,Ex,Y,7.044032897274685,1053,7.695757990554761,1,2,1,4,0.6931471805599453,Gd,9,Typ,1,3,836,Y,192,84,0,12,2008,WD,Normal,12.429216196844383,1,1,0,0,0
6,50,RL,4.454347296253507,9.55506418479516,Pave,IR1,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,1.5Fin,5,5,1993,1995,Gable,CompShg,VinylSd,VinylSd,TA,TA,Wood,732,0,64,796,GasA,Ex,Y,6.680854678790215,566,7.217443431696533,1,1,1,1,0.6931471805599453,TA,5,Typ,0,2,480,Y,40,30,0,10,2009,WD,Normal,11.870599909242044,1,1,0,0,0
7,20,RL,4.330733340286331,9.218804450388312,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,8,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,Gd,TA,PConc,1369,0,317,1686,GasA,Ex,Y,7.43543801981455,0,7.43543801981455,1,2,0,3,0.6931471805599453,Gd,7,Typ,1,2,636,Y,255,57,0,8,2007,WD,Normal,12.634603026569334,1,1,1,0,0
8,60,RL,4.2633832685897595,9.247925132303454,Pave,IR1,Lvl,AllPub,Corner,Gtl,NWAmes,PosN,Norm,1Fam,2Story,7,6,1973,1973,Gable,CompShg,HdBoard,HdBoard,TA,TA,CBlock,859,32,216,1107,GasA,Ex,Y,7.010311867307229,983,7.645397699428633,1,2,1,3,0.6931471805599453,TA,7,Typ,2,2,484,Y,235,204,228,11,2009,WD,Normal,12.206072645530174,1,1,0,0,0
9,50,RM,3.9512437185814275,8.71948076085107,Pave,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Artery,Norm,1Fam,1.5Fin,7,5,1931,1950,Gable,CompShg,BrkFace,Wd Shng,TA,TA,BrkTil,0,0,952,952,GasA,Gd,Y,6.930494765951626,752,7.4815557019095165,0,2,0,2,1.0986122886681098,TA,8,Min1,2,2,468,Y,90,0,205,4,2008,WD,Abnorml,11.77452020265869,1,1,0,0,1
10,190,RL,3.9318256327243257,8.912069097970134,Pave,Reg,Lvl,AllPub,Corner,Gtl,BrkSide,Artery,Artery,2fmCon,1.5Unf,5,6,1939,1950,Gable,CompShg,MetalSd,MetalSd,TA,TA,BrkTil,851,0,140,991,GasA,Ex,Y,6.982862751468942,0,6.982862751468942,1,1,0,2,1.0986122886681098,TA,5,Typ,2,1,205,Y,0,4,0,1,2008,WD,Normal,11.678439903447801,1,1,1,1,0
